topic,term,beta
1,150,1.2828776179333963e-4
2,150,5.368608286007877e-50
3,150,2.6665778011212017e-10
4,150,3.986194910635127e-4
5,150,2.262241746698228e-4
6,150,5.353667833715255e-4
7,150,0.002048176819138741
8,150,0.00237936867445675
9,150,1.3493056543435275e-4
10,150,3.789228831440109e-4
1,40,8.360587701817372e-4
2,40,1.286209408958607e-4
3,40,1.1832438120484735e-4
4,40,2.4132546525125893e-4
5,40,5.373520536167359e-4
6,40,3.032959533163148e-4
7,40,0.0012993818445866927
8,40,4.820922558235941e-4
9,40,7.179176431250794e-4
10,40,3.3561559924723597e-4
1,5,0.0028725131456829563
2,5,0.002995681505939785
3,5,6.55681778222619e-5
4,5,0.0028013221331212377
5,5,0.0017718344149748816
6,5,0.0034347137917558673
7,5,0.0021169057897040262
8,5,5.33182957247609e-4
9,5,0.0025437709544708837
10,5,0.002424408417961666
1,500,3.195990412151489e-5
2,500,3.413092510960979e-54
3,500,5.327759550539012e-14
4,500,1.1107888154169989e-4
5,500,9.107318333359593e-5
6,500,1.8305539200544894e-6
7,500,2.461912667387644e-4
8,500,0.002038214812782274
9,500,1.3778112353073386e-4
10,500,8.783331377317427e-53
1,6,0.002812501836383637
2,6,0.004865174609035123
3,6,1.5347180960219138e-4
4,6,2.786468609405291e-4
5,6,0.0016723208885166727
6,6,0.0021106120607362272
7,6,0.001811755494207635
8,6,1.2218295299038802e-4
9,6,0.0032525316269006272
10,6,0.004478038656421293
1,8,0.00243115506688721
2,8,8.197154120688312e-5
3,8,1.4071577868342996e-4
4,8,9.503995953554206e-4
5,8,0.0015484682428996248
6,8,0.0013423714907561972
7,8,6.103065411950977e-4
8,8,2.116006452132665e-4
9,8,0.002669634277020857
10,8,0.002402616025245055
1,activities,2.952942435928836e-4
2,activities,0.001315332035546893
3,activities,1.9208185717650665e-4
4,activities,1.449527955499747e-6
5,activities,2.3117182698383808e-4
6,activities,0.0013263541967467902
7,activities,0.0017940468340009077
8,activities,1.443115146064276e-4
9,activities,2.566226571617191e-4
10,activities,2.4099268740942017e-29
1,addition,6.736659972326675e-4
2,addition,3.4909661543041493e-4
3,addition,3.921541943557387e-4
4,addition,9.537767819068482e-6
5,addition,3.9486494306333265e-10
6,addition,3.9257883592415973e-4
7,addition,5.464202923065307e-4
8,addition,5.241042299151404e-4
9,addition,8.074210062039676e-4
10,addition,1.6288722664123574e-4
1,amulyoto,1.1441208748621119e-4
2,amulyoto,2.5594480772486366e-42
3,amulyoto,2.414317402664961e-286
4,amulyoto,4.656018339262278e-260
5,amulyoto,4.859237980125789e-286
6,amulyoto,1.0999262622547103e-280
7,amulyoto,1.941849489264968e-22
8,amulyoto,1.7067200012897385e-19
9,amulyoto,3.5725501149785213e-40
10,amulyoto,3.991039976575815e-277
1,apprentice,2.497393155423988e-11
2,apprentice,1.6222602981269606e-34
3,apprentice,1.6749184082724961e-271
4,apprentice,3.380920363920932e-16
5,apprentice,1.5364760979629857e-23
6,apprentice,1.3242098736786834e-246
7,apprentice,2.69744887345815e-16
8,apprentice,4.068720121366417e-5
9,apprentice,1.392890080261831e-5
10,apprentice,1.2056740408843916e-4
1,brothers,0.002272137533934134
2,brothers,6.52992302591595e-5
3,brothers,8.819008029081674e-14
4,brothers,3.119744753629241e-18
5,brothers,2.180259928735115e-4
6,brothers,4.0970918685490267e-25
7,brothers,1.3210695767164398e-9
8,brothers,7.190405940504133e-5
9,brothers,1.3763060033185825e-4
10,brothers,4.4657618414348796e-4
1,buying,1.4516443382596588e-4
2,buying,8.820901132301056e-5
3,buying,3.9243440406570515e-4
4,buying,7.8311662027589e-5
5,buying,0.0011406074182196842
6,buying,0.0010543387917945918
7,buying,0.0019913531046049787
8,buying,0.001575241332107563
9,buying,0.001681590550753029
10,buying,1.9622685827347895e-4
1,capital,7.294356587935028e-4
2,capital,0.0071101114340140084
3,capital,0.002950625362065335
4,capital,0.0020877675209578085
5,capital,0.0037720078531176243
6,capital,0.0017787117531022614
7,capital,7.163859042082256e-4
8,capital,0.0043571621769362264
9,capital,0.00427229879075923
10,capital,0.0027906137760776253
1,care,0.00748630862732133
2,care,8.5197531614094e-5
3,care,0.00206447884881278
4,care,0.005667330222228318
5,care,8.633881288258839e-4
6,care,0.0010007199427250744
7,care,3.7963128701708063e-4
8,care,0.003197531905578208
9,care,7.248265725647905e-4
10,care,1.8508932087725477e-4
1,children,0.018769608987619445
2,children,0.0020534234803846513
3,children,0.014845045512486938
4,children,0.025549895360578195
5,children,0.012068739688838603
6,children,0.017154715678624807
7,children,0.024750379763113898
8,children,0.01657316343870214
9,children,0.018410481733449283
10,children,0.0046922497339673885
1,completed,5.288133806215965e-4
2,completed,3.2774359794265357e-41
3,completed,3.4697288550455493e-19
4,completed,1.804391107571246e-5
5,completed,3.503092864078864e-5
6,completed,3.635018551440104e-4
7,completed,8.862596964864173e-4
8,completed,8.494074712739832e-4
9,completed,1.1982404997701452e-4
10,completed,3.776034288464242e-43
1,current,3.312412130532908e-4
2,current,5.727356306346709e-46
3,current,2.207545993907801e-4
4,current,2.1073844567571937e-4
5,current,3.4007158623966023e-4
6,current,0.001094779592628111
7,current,3.57332387522017e-4
8,current,0.0011445071743669134
9,current,4.235128867037006e-4
10,current,3.448770564168873e-4
1,description,1.4902973638546871e-18
2,description,6.161442687171072e-56
3,description,4.2715353352692186e-52
4,description,8.79242757664985e-39
5,description,3.312824855917637e-39
6,description,9.238992151218034e-57
7,description,1.7869964631163928e-41
8,description,2.1553988637656071e-38
9,description,0.006650151304837313
10,description,6.0597629793979735e-34
1,diversified,4.445045998030095e-9
2,diversified,3.0253563735241656e-24
3,diversified,3.0710125257371975e-5
4,diversified,1.2392488940956736e-12
5,diversified,7.150200838462198e-5
6,diversified,4.563166494714923e-6
7,diversified,1.1017586103412171e-4
8,diversified,1.3072764875848974e-4
9,diversified,1.2450182282208981e-5
10,diversified,1.3345429266124634e-222
1,employment,8.006940002710602e-4
2,employment,4.397277761143362e-49
3,employment,3.101619120135909e-15
4,employment,5.280514538174484e-4
5,employment,1.2543279005485251e-34
6,employment,3.847641372308604e-4
7,employment,5.064429700649923e-7
8,employment,0.0013797903049284333
9,employment,4.035506470070121e-7
10,employment,4.225574021181229e-68
1,enterprise,1.2971392037197245e-4
2,enterprise,7.709166822588149e-50
3,enterprise,9.645939709194512e-5
4,enterprise,1.1912584198937071e-18
5,enterprise,2.8904056520231457e-5
6,enterprise,2.824465305591272e-5
7,enterprise,1.4261545472649734e-8
8,enterprise,7.245274549567209e-4
9,enterprise,7.812986544376447e-5
10,enterprise,1.6498409869730444e-4
1,extension,7.96191001769316e-15
2,extension,5.216087334094174e-37
3,extension,1.436274116249905e-37
4,extension,2.8729043326181495e-5
5,extension,5.223730034939044e-5
6,extension,1.431328295397237e-22
7,extension,2.957945736913644e-11
8,extension,1.0405873985349253e-4
9,extension,1.0207070604628816e-41
10,extension,2.465078255334823e-265
1,family,0.013740975207075118
2,family,0.0012277275570005334
3,family,0.007897071291896433
4,family,0.004012276480703293
5,family,0.006532440466557723
6,family,0.005462284441173442
7,family,0.006551300763806532
8,family,0.00974266373971723
9,family,0.008534568619989016
10,family,0.0013403935062811588
1,fertilizers,6.091934689210107e-27
2,fertilizers,1.4615844793844796e-4
3,fertilizers,3.9766326939682927e-106
4,fertilizers,1.5699215146941472e-37
5,fertilizers,2.5641492061621163e-59
6,fertilizers,5.6417890358411434e-43
7,fertilizers,5.90559451311542e-4
8,fertilizers,2.254550806869421e-9
9,fertilizers,3.1896726178813454e-4
10,fertilizers,2.1794686166000224e-5
1,fund,3.2474760685663518e-9
2,fund,2.201652759971221e-50
3,fund,2.1313584841923574e-54
4,fund,2.1238903693926456e-21
5,fund,1.8875271399195103e-8
6,fund,8.596848770679054e-4
7,fund,0.001954998893298359
8,fund,6.11141085055305e-7
9,fund,8.443254282662945e-31
10,fund,2.246402913820016e-64
1,getter,6.554820425981886e-5
2,getter,5.454621976594459e-35
3,getter,1.7323398563287378e-5
4,getter,3.056772112983352e-5
5,getter,1.8271430445470337e-274
6,getter,2.4833890926283855e-264
7,getter,1.505977717588281e-21
8,getter,4.126238477042849e-18
9,getter,2.1939804463074628e-18
10,getter,8.857493791425556e-265
1,hobby,1.4514396508924016e-4
2,hobby,4.767935342588599e-45
3,hobby,8.581043026827157e-41
4,hobby,3.387709506577686e-4
5,hobby,9.672178277939434e-285
6,hobby,2.2644540803210392e-5
7,hobby,1.585145576934151e-28
8,hobby,1.460000920747023e-27
9,hobby,2.470753413978051e-32
10,hobby,1.9949296185542326e-269
1,improve,0.0022968543345716482
2,improve,2.849537353656068e-4
3,improve,0.004387571515182585
4,improve,0.0038478556461989913
5,improve,0.00152516609475297
6,improve,0.0017173275412267128
7,improve,9.97585507232092e-4
8,improve,0.0025651566121017324
9,improve,0.005734528953691149
10,improve,6.436887403380635e-4
1,ksh,4.373687098114966e-9
2,ksh,9.89341126169336e-63
3,ksh,9.23497668943545e-66
4,ksh,3.458531243167811e-11
5,ksh,3.5519388926204005e-52
6,ksh,5.89476780293773e-41
7,ksh,3.9334189132125337e-16
8,ksh,0.0032528468882488397
9,ksh,4.132279659092392e-52
10,ksh,2.9226817732198724e-80
1,local,3.773930184099315e-4
2,local,0.0014013658580166414
3,local,0.0010457371932739953
4,local,4.9873488066475684e-6
5,local,0.004062978082932351
6,local,0.002010769720073266
7,local,0.004293081700689494
8,local,0.006407659275672126
9,local,8.579084287384849e-4
10,local,0.0014584353052861198
1,main,0.0025642346932582723
2,main,0.0027762975375637306
3,main,4.8641439530520606e-4
4,main,4.652683495376149e-4
5,main,9.171714612035857e-4
6,main,4.130731078309732e-4
7,main,0.002136738785749265
8,main,8.188639175540584e-4
9,main,0.0016066283369736876
10,main,1.2821386412613977e-4
1,market,0.0012180389974159468
2,market,3.629788706021015e-5
3,market,0.0022476229146885965
4,market,7.058738602839148e-4
5,market,0.003922328776330405
6,market,5.735351198265866e-4
7,market,0.0054954704975412735
8,market,0.006561761234172478
9,market,0.001795805410213472
10,market,5.250655533370642e-4
1,married,0.009847144081656913
2,married,6.662942633908387e-5
3,married,0.0010156185444264681
4,married,0.001362377037987057
5,married,0.0024929727309438705
6,married,0.0010286486247292658
7,married,0.014600919610317974
8,married,0.009159684979904702
9,married,0.00591328643978207
10,married,0.0017841729419818566
1,maximize,5.4952977775304925e-11
2,maximize,4.8895749329312384e-5
3,maximize,3.916906293759245e-5
4,maximize,4.812065704535919e-8
5,maximize,2.051568289231315e-21
6,maximize,9.699087558984578e-50
7,maximize,2.818210951985831e-4
8,maximize,1.6275444201857214e-4
9,maximize,6.610232579001939e-26
10,maximize,3.733082695709306e-210
1,mother,0.010471473506734134
2,mother,1.8189632557374678e-4
3,mother,0.006849969341234675
4,mother,0.007532660360312474
5,mother,0.004838175249037512
6,mother,0.002957549665541007
7,mother,0.0021897508504381638
8,mother,0.0026070346658162015
9,mother,0.004299914114936076
10,mother,0.0019023031350222852
1,music,2.274303153199661e-4
2,music,1.5494244931518502e-41
3,music,8.890438875476294e-11
4,music,7.771077239503e-14
5,music,8.249694246966705e-5
6,music,2.8033026801396147e-4
7,music,8.797727863220436e-19
8,music,2.3273875757808724e-25
9,music,1.5573652436566728e-39
10,music,3.732061200629319e-4
1,nursery,3.1436180535900203e-6
2,nursery,1.712257670979434e-53
3,nursery,8.342198824583462e-25
4,nursery,1.2489162346148498e-25
5,nursery,7.706027629784973e-61
6,nursery,2.0601311616151725e-43
7,nursery,2.399211420256609e-4
8,nursery,2.65540060465036e-4
9,nursery,1.2576671627902482e-36
10,nursery,2.693883465647203e-266
1,officer,3.443913853551918e-12
2,officer,9.07785322305519e-8
3,officer,8.393221090745298e-5
4,officer,1.4029609365864117e-19
5,officer,3.5640547442302025e-5
6,officer,0.0012508624379204583
7,officer,1.8247772769894085e-4
8,officer,1.7533245698787944e-4
9,officer,1.8590313127701313e-48
10,officer,3.6826316332613575e-65
1,pesticides,1.0080759898447882e-37
2,pesticides,6.445075179601301e-4
3,pesticides,9.406069417270911e-70
4,pesticides,9.340301316479677e-54
5,pesticides,3.942051777890211e-266
6,pesticides,3.736988256883022e-64
7,pesticides,1.2286478325153642e-4
8,pesticides,6.374478897923729e-37
9,pesticides,1.2461507512702879e-31
10,pesticides,5.10390200380367e-58
1,planting,3.1386768295176473e-26
2,planting,1.957799342629212e-4
3,planting,9.726963288198741e-37
4,planting,9.620085918233239e-39
5,planting,6.503244686219703e-41
6,planting,1.6327670022474018e-10
7,planting,5.213362574125136e-4
8,planting,7.537556295439603e-8
9,planting,6.2401450781596107e-05
10,planting,1.3783985006770066e-5
1,potential,8.290815535117272e-8
2,potential,0.0025635720528371852
3,potential,5.302820493758398e-4
4,potential,7.481448448803052e-5
5,potential,4.343658152691019e-4
6,potential,1.4439845980182263e-4
7,potential,1.225172901682741e-4
8,potential,7.439867167406584e-4
9,potential,9.1820703817431e-5
10,potential,8.111502817947046e-5
1,profitable,3.428010872423039e-4
2,profitable,5.070551450556361e-26
3,profitable,0.0013697194808739706
4,profitable,3.9179198436439875e-4
5,profitable,4.801963454779736e-4
6,profitable,3.544380361670144e-11
7,profitable,7.908283224925027e-5
8,profitable,3.9832584423771754e-4
9,profitable,1.7879483974145811e-4
10,profitable,4.951663384300948e-77
1,pump,4.964978283843156e-19
2,pump,1.669981906920706e-5
3,pump,2.2758637209189246e-61
4,pump,8.29439486816224e-44
5,pump,2.771882955252288e-71
6,pump,4.374611683630461e-65
7,pump,5.63475079085696e-4
8,pump,1.8678145558758425e-9
9,pump,7.740154110334587e-25
10,pump,2.835593332332313e-124
1,remove,1.1750637930022766e-4
2,remove,6.311757144842023e-44
3,remove,1.1068592122071993e-11
4,remove,1.2406173178099818e-262
5,remove,4.3304353305402147e-41
6,remove,2.4113548149460466e-33
7,remove,1.6958764637531003e-29
8,remove,6.0271933640813044e-21
9,remove,8.012573881545662e-5
10,remove,2.2832520277768467e-257
1,robert,5.500198231984177e-16
2,robert,0.002022470332932008
3,robert,3.327815880632023e-79
4,robert,5.4469072878185884e-192
5,robert,4.077130172220571e-76
6,robert,5.2557286944936746e-64
7,robert,2.992592785135445e-22
8,robert,2.737314978751627e-4
9,robert,1.5300794699250983e-48
10,robert,3.69060291726802e-57
1,rowland,1.1441208748621139e-4
2,rowland,4.455046577275238e-43
3,rowland,2.8860869579840307e-286
4,rowland,1.2534998868951425e-260
5,rowland,5.408819998360787e-286
6,rowland,4.591001583308888e-280
7,rowland,4.731397635686912e-22
8,rowland,1.1547766601568943e-19
9,rowland,9.428601335521705e-40
10,rowland,4.713385030639809e-277
1,school,0.020760818459288365
2,school,7.829738143111266e-4
3,school,0.008404180334213363
4,school,0.0044523944158393865
5,school,0.0036668634045264265
6,school,0.001581299953426991
7,school,0.018489185614055884
8,school,0.01435873432739832
9,school,0.009271210561902356
