reviewID,reviewerID,asin,reviewerName,reviewText,overall,summary,unixReviewTime
14379,A1VQ8LZIU7GSEE,B00099XNG0,Todd C. Young,"I prefer this over chips. Lower in fat and so tasty. I buy them by the case to have on hand, tho I wish it came in bigger bags.",5,My favorite snack...,1368230400
39415,A2X3L31KCXBHCL,B002W09PX4,"R. Song ""R. Song""","Agave supposedly has a lower glycemic load, but beware, that depends on how it's processed. Any sweetener should be used in moderation. That being said, this stuff tastes great - a lot like corn syrup.My favorite thing about agave is that it will dissolve in cold beverages. We mostly use it in sweet tea, but have also used it in ice cream and home made baked goods, all with excellent results.I see some complaints about the bottles, but the bottles I received were sturdy and dispensed the product without leaking.This brand is the tastiest we've tried yet and is hopefully organic. We'll be buying it again.",5,Sweet Syrup,1321401600
20449,A3Q1QHUK0JDLIE,B007FS8AL6,Bonnie J. Howell,This stuff is so yummy. It's my fave bdtm snak. I don't even share with friends or guests.  You should try this stuff.,5,best stuff ever,1388361600
44149,A27FSPAMTQF1J8,B007M8FRU6,Japhyl,"I really tried to like this tea, but the taste was not what I hoped it would be. I did not think it tasted like apple at all, and the taste reminded me of an artificial candy-type flavor. It wasn't awful, but it was not one of my favorite teas I've tried. It was a bit too spicy for me, but I would recommend it to anyone who likes tea with a strong spicy flavor.",3,"It was okay, but not what I expected...",1371168000
47020,A1GQRGB8FGSLIZ,B004MO6NI8,M.L.,"My preferences for energy drinks is the regular and lo carb Monster. I do like Red Bull but you are paying for the name. This No Fear drink is infused with grape juice, which makes it to sweet for my taste buds. Of course it is loaded with HFCS. If you are a person that likes the juice energy drinks then you may like this drink.The energy drink had a bad aftertaste, which is the reason I would not recommend it to friends or family.I gave it three stars because it is still drinkable unlike Full Throttle.I did not get any kind of energy boost but that is because 1 can no longer does much for me. Have this after a large coffee and you will the buzz",3,Leaves an aftertaste I do not care for.,1330646400
2278,A813P99D7XHT2,B005QKH14W,Efia N. Sullivan,these are great for little snack this is not combos meaning there is nothing in the middle of these all the seasoning is on the outside of the pretzel but they are very delicious,5,tasty,1377907200
26403,A2YI093RCI57PI,B000MQVM5O,rosekelly,"Not only this thing is way overprice, it is no diet food. Each piece of wrap has 25 grams of carbohydrate! And I bought it to replaced my regular flour tortilla wrap. When checked, my regular flour wrap only has 8 grams of carb each. Also total fat in the flour wrap is 2 grams compare to this at 2.5 grams. The only good thing I can say is that it taste better than expected, but with all the fat and carb this is no diet!",2,Each piece of wrap has 25 grams of carbohydrate!,1231718400
44615,A1UOMYWBZS1T6U,B004538TME,DJD,This coffee is a milder blend of a morning coffee.  If you like a milder coffee in the morning buy this coffee,5,Folger Morning Cafe,1398124800
27568,A2BLS8RWCAEMCI,B000UXBOOI,Liz,"These lovely crackers are better than potatoe chips, they satisfy the craving for a munchy, salty snack.  The great part is they are good for you too!!",5,pleasantly surprised!,1321920000
22827,AVC6YIUVVNJA,B000EM8UGU,Low Carb Queen,"Even though I'm from the South, I don't drink sweetened iced tea...no lemon, no sugar; however, I love peach anything so I gave this a try.  OMGoodness!  It is fabulous.  Shockingly, I find myself wanting it to be even more sweet so I add 4 drops ofSweetLeaf SteviaClear Liquid Stevia, 4-Ounce Bottles (Pack of 2)which actually intensifies the peach flavor.  I now subscribe so I never have to be without it.",5,Best sweet tea ever!,1303084800
