id,tweet_text,Entity,Label,Start,End
631527288991944704,Farmers in a total of 88 counties can request loan assistance. Contact your local FSA office here: http://t.co/T66ClR4dWx,88,CARDINAL,22,24
631527288991944704,Farmers in a total of 88 counties can request loan assistance. Contact your local FSA office here: http://t.co/T66ClR4dWx,FSA,ORG,82,85
715567254969122816,These new jobs are above the state's avg wage. The new facility will house @HoistLiftruck manufacturing &amp; corporate team #AStateThatWorks,@HoistLiftruck manufacturing &amp,ORG,75,108
715567254969122816,These new jobs are above the state's avg wage. The new facility will house @HoistLiftruck manufacturing &amp; corporate team #AStateThatWorks,AStateThatWorks,PERSON,126,141
711985273622507520,"RT @FirstLadyIN: Sweet Jaida introducing me to her ""Olaf"" play dough creation-made my day! @GiGisPlayIndy #MyFriendsMyCommunity https://t.c...",Sweet Jaida,PERSON,17,28
711985273622507520,"RT @FirstLadyIN: Sweet Jaida introducing me to her ""Olaf"" play dough creation-made my day! @GiGisPlayIndy #MyFriendsMyCommunity https://t.c...",Olaf,WORK_OF_ART,52,56
711985273622507520,"RT @FirstLadyIN: Sweet Jaida introducing me to her ""Olaf"" play dough creation-made my day! @GiGisPlayIndy #MyFriendsMyCommunity https://t.c...",@GiGisPlayIndy,PERSON,91,105
643439040394493952,RT @Indiana_EDC: .@Honda recently celebrated its 1 millionth car built in IN. @GovPenceIN thanks the company for its Hoosier presence. http...,1 millionth car,QUANTITY,49,64
643439040394493952,RT @Indiana_EDC: .@Honda recently celebrated its 1 millionth car built in IN. @GovPenceIN thanks the company for its Hoosier presence. http...,IN,GPE,74,76
643439040394493952,RT @Indiana_EDC: .@Honda recently celebrated its 1 millionth car built in IN. @GovPenceIN thanks the company for its Hoosier presence. http...,Hoosier,NORP,117,124
738739879362711552,RT @Indiana_EDC: #Indiana is in the lead because of the hardworking people of Indiana- @GovPenceIN https://t.co/t6DTlfhUO7,Indiana,GPE,18,25
644542525903138816,"RT @Indiana_EDC: #INDinJapan delegation led by @GovPenceIN visits Toyota subsidiary Aisin, which employs nearly 3,000 Hoosiers. http://t.co...",Toyota,ORG,66,72
644542525903138816,"RT @Indiana_EDC: #INDinJapan delegation led by @GovPenceIN visits Toyota subsidiary Aisin, which employs nearly 3,000 Hoosiers. http://t.co...",Aisin,PERSON,84,89
644542525903138816,"RT @Indiana_EDC: #INDinJapan delegation led by @GovPenceIN visits Toyota subsidiary Aisin, which employs nearly 3,000 Hoosiers. http://t.co...","nearly 3,000",CARDINAL,105,117
702515441571274752,"Today, the IN Biosciences Research Institute announced $100M in grants supporting scientific innovation. Learn more: https://t.co/1wyPujbSYn",Today,DATE,0,5
702515441571274752,"Today, the IN Biosciences Research Institute announced $100M in grants supporting scientific innovation. Learn more: https://t.co/1wyPujbSYn",the IN Biosciences Research Institute,ORG,7,44
702515441571274752,"Today, the IN Biosciences Research Institute announced $100M in grants supporting scientific innovation. Learn more: https://t.co/1wyPujbSYn",100,MONEY,56,59
689851848967098369,"Enjoyed discussion with House, Senate Republican leaders @Brian_Bosma &amp; @sendavidlong in my office this morning https://t.co/aE5u5Qvb3a",House,ORG,24,29
689851848967098369,"Enjoyed discussion with House, Senate Republican leaders @Brian_Bosma &amp; @sendavidlong in my office this morning https://t.co/aE5u5Qvb3a",Senate,ORG,31,37
689851848967098369,"Enjoyed discussion with House, Senate Republican leaders @Brian_Bosma &amp; @sendavidlong in my office this morning https://t.co/aE5u5Qvb3a",Republican,NORP,38,48
689851848967098369,"Enjoyed discussion with House, Senate Republican leaders @Brian_Bosma &amp; @sendavidlong in my office this morning https://t.co/aE5u5Qvb3a",@Brian_Bosma &amp,ORG,57,74
689851848967098369,"Enjoyed discussion with House, Senate Republican leaders @Brian_Bosma &amp; @sendavidlong in my office this morning https://t.co/aE5u5Qvb3a",this morning,TIME,103,115
669248757687455744,".@Forbes contributor calls on states across Midwest, ""show me more Indiana-like policies"" #AStateThatWorks https://t.co/IIdxClHjhk",Midwest,LOC,44,51
669248757687455744,".@Forbes contributor calls on states across Midwest, ""show me more Indiana-like policies"" #AStateThatWorks https://t.co/IIdxClHjhk",Indiana,GPE,67,74
